Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-16 10:32:58.819,3.38,529.0,0.3,0.94,0.12,0.35,0.88,0.42
2024-12-16 10:32:58.883,1.57,529.0,0.3,0.94,0.11,0.35,0.14,-0.01
2024-12-16 10:32:58.935,3.82,553.0,0.3,0.94,0.12,0.17,0.45,0.11
2024-12-16 10:32:58.990,2.47,517.0,0.3,0.94,0.11,0.05,0.69,0.23
2024-12-16 10:32:59.48,4.5,509.0,0.24,0.92,0.1,0.17,-2.6,-6.97
2024-12-16 10:32:59.103,9.0,492.0,0.35,1.01,0.14,-0.01,-3.15,-14.54
2024-12-16 10:32:59.151,11.7,478.0,0.31,0.95,0.1,1.21,0.88,-10.51
2024-12-16 10:32:59.210,13.5,495.0,0.26,0.95,0.11,-0.5,1.97,-1.78
2024-12-16 10:32:59.259,18.67,508.0,0.31,1.0,0.09,-0.75,2.52,-0.87
2024-12-16 10:32:59.310,17.77,513.0,0.31,1.0,0.1,-2.82,3.38,4.14
2024-12-16 10:32:59.392,16.88,506.0,0.34,0.96,0.17,-12.4,-2.97,22.69
2024-12-16 10:32:59.446,22.72,523.0,0.3,0.9,0.15,-11.67,0.27,21.41
2024-12-16 10:32:59.491,24.3,527.0,0.32,0.89,0.18,-7.34,1.3,15.25
2024-12-16 10:32:59.554,30.82,529.0,0.32,0.9,0.18,-3.61,-0.22,6.4
2024-12-16 10:32:59.642,32.4,525.0,0.33,0.92,0.15,-2.58,-2.05,-0.62
2024-12-16 10:32:59.691,32.17,524.0,0.3,0.91,0.14,-1.54,-1.26,-5.93
2024-12-16 10:32:59.740,35.77,513.0,0.33,0.94,0.16,-1.42,1.36,-5.5
2024-12-16 10:32:59.816,40.05,517.0,0.35,0.95,0.16,-1.17,0.88,-5.38
2024-12-16 10:32:59.871,34.2,514.0,0.34,0.94,0.16,-1.48,1.43,-3.86
2024-12-16 10:33:01.111,40.27,519.0,0.33,0.92,0.16,0.72,0.08,0.35
2024-12-16 10:33:01.165,41.62,528.0,0.32,0.93,0.16,0.66,0.27,0.17
2024-12-16 10:33:01.212,40.95,515.0,0.32,0.93,0.16,0.41,0.2,0.42
2024-12-16 10:33:01.260,42.75,545.0,0.32,0.93,0.16,0.54,0.57,0.6
2024-12-16 10:33:01.305,44.32,513.0,0.33,0.93,0.16,0.66,0.88,0.78
2024-12-16 10:33:01.362,39.38,519.0,0.33,0.92,0.16,0.78,0.39,0.48
2024-12-16 10:33:01.415,41.85,527.0,0.32,0.93,0.17,1.27,0.94,-0.26
2024-12-16 10:33:01.489,43.88,506.0,0.33,0.92,0.16,1.51,0.94,-0.32
2024-12-16 10:33:01.700,37.8,507.0,0.32,0.92,0.16,0.9,1.91,0.78
2024-12-16 10:33:01.768,43.88,527.0,0.32,0.93,0.16,1.33,1.91,-0.01
2024-12-16 10:33:01.820,39.83,524.0,0.32,0.93,0.16,2.0,3.07,-0.87
2024-12-16 10:33:01.866,39.15,507.0,0.33,0.93,0.16,1.76,2.04,-0.81
2024-12-16 10:33:01.935,44.1,526.0,0.33,0.93,0.16,1.15,1.3,-0.56
2024-12-16 10:33:02.37,37.35,522.0,0.32,0.93,0.16,0.35,0.94,1.21
2024-12-16 10:33:02.83,39.6,511.0,0.32,0.93,0.16,0.54,0.45,0.84
2024-12-16 10:33:02.155,39.83,522.0,0.32,0.93,0.16,0.78,-0.16,-0.13
2024-12-16 10:33:02.278,38.25,513.0,0.32,0.93,0.15,0.35,-0.77,-0.56
2024-12-16 10:33:02.338,38.25,516.0,0.31,0.93,0.15,0.23,0.08,0.42
2024-12-16 10:33:02.389,39.38,524.0,0.32,0.93,0.15,0.05,0.2,0.42
2024-12-16 10:33:02.451,42.52,518.0,0.32,0.93,0.15,0.35,0.02,-0.19
2024-12-16 10:33:02.511,37.58,517.0,0.31,0.93,0.15,0.6,0.45,-0.38
2024-12-16 10:33:02.558,39.6,506.0,0.31,0.93,0.15,0.47,0.57,-0.07
2024-12-16 10:33:02.619,42.75,520.0,0.32,0.93,0.15,0.11,0.45,0.17
