Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 12:23:49.780,-3.38,467.0,0.25,0.96,-0.03,-0.28,-0.54,-0.04
2024-12-06 12:23:49.789,-2.47,452.0,0.25,0.96,-0.03,-0.03,0.44,0.09
2024-12-06 12:23:49.801,-4.95,452.0,0.24,0.95,-0.03,-0.03,-0.42,-1.07
2024-12-06 12:23:49.830,3.15,454.0,0.22,0.94,-0.03,0.94,-7.19,-5.71
2024-12-06 12:23:49.864,3.15,460.0,0.18,0.91,-0.01,0.94,-8.05,-15.78
2024-12-06 12:23:49.889,1.57,455.0,0.26,0.98,-0.04,1.55,-2.37,-11.57
2024-12-06 12:23:49.914,3.6,453.0,0.25,1.0,-0.06,2.04,3.43,-6.08
2024-12-06 12:23:49.938,6.52,455.0,0.23,0.97,-0.03,0.82,5.02,-4.25
2024-12-06 12:23:49.985,7.2,458.0,0.22,0.96,-0.03,-1.19,4.65,-2.78
2024-12-06 12:23:49.995,7.88,468.0,0.2,0.95,-0.02,-1.38,2.21,-4.61
2024-12-06 12:23:50.18,10.8,456.0,0.21,0.97,-0.05,-1.01,1.42,-6.32
2024-12-06 12:23:50.51,13.72,463.0,0.22,0.98,-0.04,-0.34,2.88,-5.22
2024-12-06 12:23:50.88,9.22,452.0,0.22,0.99,-0.06,-0.52,6.48,-1.74
2024-12-06 12:23:50.108,11.47,458.0,0.23,0.99,-0.04,-0.34,9.04,1.19
2024-12-06 12:23:50.131,16.42,460.0,0.26,0.99,-0.03,0.45,11.36,4.54
2024-12-06 12:23:50.178,15.07,456.0,0.27,0.98,-0.03,1.19,13.01,8.81
2024-12-06 12:23:50.184,19.8,463.0,0.27,0.97,-0.03,2.53,12.34,10.4
2024-12-06 12:23:50.220,18.45,456.0,0.27,0.96,-0.01,3.51,10.75,11.13
2024-12-06 12:23:50.241,17.77,452.0,0.27,0.96,-0.01,4.18,9.41,10.77
2024-12-06 12:23:50.270,19.12,459.0,0.26,0.96,-0.02,4.6,7.7,9.91
2024-12-06 12:23:50.295,22.5,472.0,0.23,0.95,-0.02,3.87,6.66,8.63
2024-12-06 12:23:50.323,24.07,473.0,0.23,0.95,-0.02,3.14,6.79,6.62
2024-12-06 12:23:50.351,21.15,487.0,0.23,0.95,-0.03,2.77,8.62,5.7
2024-12-06 12:23:50.378,22.95,461.0,0.23,0.95,-0.03,2.28,9.84,3.75
2024-12-06 12:23:50.406,24.07,477.0,0.24,0.95,-0.03,1.92,9.84,1.92
2024-12-06 12:23:50.442,29.02,474.0,0.25,0.95,-0.02,1.49,8.01,-0.34
2024-12-06 12:23:50.460,29.47,470.0,0.25,0.95,-0.03,1.67,6.18,-1.99
2024-12-06 12:23:50.491,31.27,473.0,0.25,0.96,-0.03,1.86,5.38,-3.21
2024-12-06 12:23:50.516,32.4,463.0,0.25,0.96,-0.03,1.61,4.71,-3.39
2024-12-06 12:23:50.543,27.45,481.0,0.24,0.95,-0.04,1.43,3.92,-2.96
2024-12-06 12:23:50.573,32.17,484.0,0.25,0.95,-0.03,0.94,3.55,-2.66
2024-12-06 12:23:50.607,31.05,480.0,0.25,0.96,-0.03,1.25,4.04,-1.68
2024-12-06 12:23:50.626,33.52,476.0,0.25,0.96,-0.02,0.88,4.41,-1.62
2024-12-06 12:23:50.724,32.17,472.0,0.26,0.96,-0.02,0.7,3.61,0.15
2024-12-06 12:23:50.736,37.58,478.0,0.24,0.96,-0.03,0.45,2.82,0.33
2024-12-06 12:23:50.769,38.02,500.0,0.25,0.96,-0.03,-0.1,1.6,0.45
2024-12-06 12:23:50.791,40.95,474.0,0.26,0.96,-0.02,-0.58,0.07,1.67
2024-12-06 12:23:50.819,44.1,473.0,0.26,0.96,-0.02,-1.01,-0.72,2.41
2024-12-06 12:23:50.847,42.08,471.0,0.25,0.96,-0.02,-0.89,-0.42,3.2
2024-12-06 12:23:50.886,43.2,475.0,0.26,0.95,-0.02,-0.89,0.13,3.08
2024-12-06 12:23:50.901,46.57,505.0,0.26,0.95,-0.03,-0.64,-0.17,2.71
2024-12-06 12:23:50.929,44.77,475.0,0.25,0.94,-0.03,-0.46,-0.66,1.55
2024-12-06 12:23:50.958,46.8,483.0,0.26,0.96,-0.03,-0.22,-1.39,1.55
2024-12-06 12:23:50.985,48.6,482.0,0.25,0.96,-0.03,-0.22,-1.64,1.06
2024-12-06 12:23:51.17,49.72,478.0,0.25,0.97,-0.03,-0.71,-1.7,1.61
2024-12-06 12:23:51.39,45.9,484.0,0.23,0.95,-0.03,-0.77,-0.54,1.19
2024-12-06 12:23:51.77,51.3,495.0,0.26,0.95,-0.03,-0.77,0.38,1.31
2024-12-06 12:23:51.144,47.7,473.0,0.26,0.95,-0.03,-0.64,0.32,1.55
2024-12-06 12:23:51.152,54.22,490.0,0.26,0.95,-0.03,-0.77,-0.35,0.94
2024-12-06 12:23:51.157,53.55,508.0,0.26,0.96,-0.02,-0.77,-1.51,0.88
2024-12-06 12:23:51.176,54.9,471.0,0.25,0.95,-0.02,-0.89,-1.94,-0.28
2024-12-06 12:23:51.225,57.38,493.0,0.26,0.96,-0.02,-1.01,-2.37,-0.46
2024-12-06 12:23:51.232,58.27,481.0,0.26,0.96,-0.03,-1.19,-2.55,-0.22
2024-12-06 12:23:51.260,56.02,484.0,0.26,0.95,-0.02,-1.5,-3.41,-0.1
2024-12-06 12:23:51.301,57.82,486.0,0.26,0.95,-0.02,-1.87,-4.2,0.58
2024-12-06 12:23:51.337,60.3,486.0,0.26,0.95,-0.02,-2.66,-5.24,0.03
2024-12-06 12:23:51.342,63.22,498.0,0.27,0.97,-0.01,-3.33,-6.15,0.21
2024-12-06 12:23:51.375,60.3,495.0,0.26,0.97,-0.01,-4.12,-7.62,0.7
2024-12-06 12:23:51.400,60.97,489.0,0.28,0.95,-0.01,-4.18,-8.9,0.76
2024-12-06 12:23:51.431,61.88,482.0,0.27,0.94,-0.02,-3.7,-9.21,1.49
2024-12-06 12:23:51.453,63.67,512.0,0.27,0.94,-0.02,-3.45,-8.9,1.12
2024-12-06 12:23:51.480,64.57,494.0,0.25,0.94,-0.03,-3.09,-8.11,0.64
2024-12-06 12:23:51.508,64.12,495.0,0.24,0.94,-0.02,-2.48,-6.34,-1.38
2024-12-06 12:23:51.560,67.5,492.0,0.24,0.96,-0.03,-1.93,-5.54,-3.21
2024-12-06 12:23:51.563,66.15,500.0,0.24,0.97,-0.03,-1.19,-6.09,-5.77
2024-12-06 12:23:51.591,67.05,497.0,0.25,0.97,-0.02,-1.01,-6.52,-6.75
2024-12-06 12:23:51.619,70.42,500.0,0.25,0.96,-0.01,-0.77,-4.93,-5.89
2024-12-06 12:23:51.646,71.78,506.0,0.25,0.94,-0.01,-0.64,-2.25,-4.61
2024-12-06 12:23:51.679,73.12,507.0,0.26,0.95,-0.01,-0.83,-0.84,-2.96
2024-12-06 12:23:51.782,73.12,520.0,0.24,0.97,-0.02,-1.19,-2.49,-0.58
2024-12-06 12:23:51.795,74.03,521.0,0.24,0.97,-0.02,-1.19,-2.55,-0.58
2024-12-06 12:23:51.812,67.28,514.0,0.25,0.97,-0.01,-0.71,-2.37,-0.52
2024-12-06 12:23:51.844,79.42,516.0,0.24,0.96,-0.02,-0.64,-2.74,-0.28
2024-12-06 12:23:51.870,79.88,517.0,0.25,0.95,-0.02,-0.46,-3.04,-0.46
2024-12-06 12:23:51.899,80.1,535.0,0.24,0.97,-0.02,-0.83,-4.32,0.33
2024-12-06 12:23:51.936,77.4,537.0,0.24,0.96,-0.02,-1.19,-4.08,0.39
2024-12-06 12:23:51.982,82.8,543.0,0.25,0.97,-0.02,-1.93,-5.3,1.67
2024-12-06 12:23:52.12,81.0,529.0,0.24,0.95,-0.02,-2.66,-6.52,3.38
2024-12-06 12:23:52.33,83.25,527.0,0.25,0.97,-0.01,-2.6,-6.4,4.66
2024-12-06 12:23:52.44,83.7,534.0,0.25,0.98,-0.01,-2.6,-6.4,4.66
2024-12-06 12:23:52.59,85.5,538.0,0.24,0.97,-0.01,-2.48,-6.28,4.91
2024-12-06 12:23:52.68,84.38,546.0,0.24,0.97,-0.02,-2.41,-5.79,4.6
2024-12-06 12:23:52.71,85.72,554.0,0.24,0.97,-0.02,-2.29,-5.36,4.24
2024-12-06 12:23:52.81,87.97,539.0,0.24,0.96,-0.02,-2.29,-5.36,4.24
2024-12-06 12:23:52.96,85.28,559.0,0.25,0.96,-0.01,-2.29,-5.54,3.99
2024-12-06 12:23:52.99,85.72,527.0,0.25,0.97,-0.01,-2.35,-6.15,4.18
2024-12-06 12:23:52.104,81.0,540.0,0.24,0.98,-0.02,-2.41,-6.76,4.36
2024-12-06 12:23:52.147,86.17,561.0,0.24,0.99,-0.02,-2.9,-8.35,5.7
2024-12-06 12:23:52.150,86.62,534.0,0.24,0.99,-0.02,-3.39,-9.02,6.68
2024-12-06 12:23:52.169,85.72,546.0,0.24,0.99,-0.03,-3.45,-8.84,7.35
