Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-16 10:40:56.796,0.0,586.0,0.28,0.95,0.12,-0.11,-2.07,0.74
2024-12-16 10:40:56.878,2.25,535.0,0.27,0.94,0.12,-0.17,-2.2,-0.36
2024-12-16 10:40:56.932,-0.67,513.0,0.27,0.95,0.15,-1.33,-8.18,-12.87
2024-12-16 10:40:56.977,6.75,502.0,0.29,0.98,0.11,-0.72,-4.15,-7.13
2024-12-16 10:40:57.25,10.57,526.0,0.2,0.95,0.13,-1.7,2.81,-13.05
2024-12-16 10:40:57.75,11.7,534.0,0.23,0.98,0.12,-2.37,7.81,-8.78
2024-12-16 10:40:57.133,8.32,559.0,0.27,0.99,0.12,-1.88,12.21,2.39
2024-12-16 10:40:57.179,17.77,535.0,0.28,0.97,0.15,-1.27,7.94,11.61
2024-12-16 10:40:57.232,18.23,524.0,0.3,0.96,0.16,-0.47,4.15,14.47
2024-12-16 10:40:57.285,24.52,546.0,0.26,0.91,0.15,0.5,-4.33,9.59
2024-12-16 10:40:57.338,29.7,563.0,0.25,0.93,0.15,0.07,-4.88,9.84
2024-12-16 10:40:57.401,27.0,536.0,0.25,0.94,0.14,-2.98,-3.97,8.07
2024-12-16 10:40:57.456,24.97,523.0,0.28,0.96,0.15,-3.34,-1.16,6.42
2024-12-16 10:40:57.509,40.27,519.0,0.28,0.95,0.14,-3.4,-1.77,5.99
2024-12-16 10:40:57.577,34.65,523.0,0.3,0.95,0.13,-3.28,-5.49,4.59
2024-12-16 10:40:57.629,41.4,533.0,0.3,0.95,0.14,-3.22,-3.78,5.69
2024-12-16 10:40:57.979,45.0,532.0,0.29,0.93,0.15,-3.28,-2.93,4.16
2024-12-16 10:40:58.75,66.38,514.0,0.36,0.89,0.17,-2.18,-2.13,11.48
2024-12-16 10:40:58.131,72.45,506.0,0.36,0.94,0.17,-2.43,-1.34,11.97
2024-12-16 10:40:58.203,74.92,514.0,0.41,0.91,0.16,-2.0,-3.17,11.55
2024-12-16 10:40:58.251,75.38,500.0,0.39,0.91,0.16,-1.27,-2.07,12.46
2024-12-16 10:40:58.296,79.65,490.0,0.4,0.86,0.16,0.07,-0.55,10.08
2024-12-16 10:40:59.602,86.17,498.0,0.43,0.88,0.18,-1.39,-2.07,-0.36
2024-12-16 10:40:59.658,87.97,486.0,0.43,0.88,0.18,-1.45,-1.65,0.13
2024-12-16 10:40:59.721,87.75,511.0,0.43,0.89,0.17,-0.9,-1.28,0.38
2024-12-16 10:40:59.782,84.15,487.0,0.43,0.89,0.17,0.14,-1.77,0.86
2024-12-16 10:40:59.844,87.07,499.0,0.42,0.88,0.17,0.69,-0.06,0.93
2024-12-16 10:40:59.889,90.0,491.0,0.42,0.88,0.17,0.69,0.0,1.17
2024-12-16 10:40:59.933,86.62,507.0,0.43,0.88,0.17,0.44,-0.73,1.23
2024-12-16 10:40:59.999,84.82,521.0,0.43,0.88,0.18,0.38,0.18,1.17
2024-12-16 10:41:00.45,79.65,494.0,0.43,0.89,0.17,0.5,-0.12,0.74
2024-12-16 10:41:00.119,87.75,489.0,0.43,0.88,0.17,0.62,-0.12,0.56
2024-12-16 10:41:00.173,87.97,500.0,0.42,0.88,0.17,0.75,0.06,0.5
2024-12-16 10:41:00.239,85.5,495.0,0.42,0.89,0.17,0.69,0.92,0.5
2024-12-16 10:41:00.300,87.52,535.0,0.42,0.89,0.17,0.81,0.25,0.07
2024-12-16 10:41:00.407,87.52,508.0,0.42,0.88,0.18,0.38,0.55,0.38
2024-12-16 10:41:00.524,83.25,510.0,0.43,0.88,0.16,1.54,1.34,1.54
2024-12-16 10:41:00.591,87.52,528.0,0.42,0.88,0.17,1.23,1.77,1.78
2024-12-16 10:41:00.636,89.32,506.0,0.42,0.88,0.17,0.87,1.89,2.02
2024-12-16 10:41:00.684,86.62,499.0,0.42,0.88,0.17,0.99,1.22,1.66
2024-12-16 10:41:00.733,83.25,497.0,0.42,0.89,0.17,0.44,1.89,0.93
2024-12-16 10:41:00.787,87.3,506.0,0.42,0.89,0.16,-0.17,2.02,0.86
2024-12-16 10:41:00.845,87.75,509.0,0.44,0.87,0.16,-1.02,-0.67,-0.11
2024-12-16 10:41:00.870,87.3,487.0,0.44,0.87,0.16,-0.96,-1.22,-0.17
2024-12-16 10:41:01.891,86.4,505.0,0.42,0.87,0.24,-0.78,-7.14,-4.02
2024-12-16 10:41:01.962,83.92,559.0,0.41,1.03,0.18,-6.64,-14.59,13.68
2024-12-16 10:41:02.80,74.03,584.0,0.48,0.67,0.2,-8.1,-28.75,9.16
2024-12-16 10:41:02.146,66.38,545.0,0.41,0.84,0.22,12.22,6.96,-33.19
2024-12-16 10:41:02.200,63.0,533.0,0.41,0.95,0.13,16.43,-9.58,-40.7
2024-12-16 10:41:02.247,58.5,525.0,0.25,0.94,0.14,8.31,-12.57,-42.29
2024-12-16 10:41:02.294,57.6,503.0,0.22,0.98,0.09,2.09,0.55,-29.1
2024-12-16 10:41:02.341,49.5,520.0,0.26,0.97,0.13,-1.39,2.57,-27.7
2024-12-16 10:41:02.389,49.95,497.0,0.3,1.0,0.14,-0.96,0.8,-23.86
2024-12-16 10:41:02.437,46.35,493.0,0.26,0.97,0.16,5.08,-5.37,-31.67
2024-12-16 10:41:02.493,37.58,476.0,0.18,0.98,0.13,5.93,6.59,-24.59
2024-12-16 10:41:02.550,39.83,474.0,0.18,0.97,0.11,5.45,14.59,-18.61
2024-12-16 10:41:02.603,35.55,478.0,0.21,1.01,0.11,3.13,17.34,-8.47
2024-12-16 10:41:02.649,33.75,492.0,0.21,0.99,0.14,4.16,14.89,-2.43
2024-12-16 10:41:02.752,31.5,523.0,0.16,0.95,0.12,4.84,14.96,1.9
2024-12-16 10:41:02.803,27.67,516.0,0.17,0.96,0.13,2.15,15.69,0.68
2024-12-16 10:41:02.858,21.82,529.0,0.16,0.97,0.14,0.2,17.82,7.52
2024-12-16 10:41:02.942,22.05,536.0,0.2,0.93,0.13,-1.94,9.28,5.5
2024-12-16 10:41:02.994,14.85,536.0,0.23,1.0,0.15,-0.41,7.69,7.82
2024-12-16 10:41:03.47,13.05,532.0,0.23,0.98,0.15,-0.23,1.65,5.56
2024-12-16 10:41:03.111,10.35,553.0,0.25,0.98,0.18,-1.08,5.62,8.13
2024-12-16 10:41:03.166,2.7,546.0,0.24,0.88,0.25,2.03,1.28,4.65
2024-12-16 10:41:04.473,-0.9,545.0,0.12,0.93,0.1,7.52,31.56,23.02
2024-12-16 10:41:04.519,2.92,529.0,0.19,0.96,0.08,6.0,54.87,26.19
2024-12-16 10:41:04.568,-0.9,541.0,0.31,1.0,0.11,2.46,64.64,21.25
2024-12-16 10:41:04.623,0.9,556.0,0.51,0.92,0.09,4.53,31.19,2.08
2024-12-16 10:41:04.693,-0.45,557.0,0.4,0.78,0.05,11.37,-7.57,-6.28
2024-12-16 10:41:04.796,-1.12,553.0,0.29,1.02,0.09,4.35,31.98,1.17
