Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 13:22:00.281,21.6,541.0,0.21,0.97,-0.02,0.65,1.6,4.44
2024-12-06 13:22:00.322,28.57,523.0,0.24,0.98,-0.03,0.65,2.14,4.62
2024-12-06 13:22:00.334,26.1,544.0,0.27,1.04,-0.01,-0.08,10.63,16.34
2024-12-06 13:22:00.362,22.05,537.0,0.23,0.99,-0.05,-0.63,16.24,24.34
2024-12-06 13:22:00.390,16.65,522.0,0.3,0.98,-0.06,-1.73,15.45,27.75
2024-12-06 13:22:00.441,12.82,540.0,0.3,0.95,-0.0,-0.63,12.4,32.03
2024-12-06 13:22:00.452,9.0,531.0,0.29,0.94,0.04,0.89,10.99,30.81
2024-12-06 13:22:00.475,-1.35,526.0,0.19,0.9,0.02,2.72,0.25,22.14
2024-12-06 13:22:00.504,1.8,557.0,0.2,0.9,0.03,3.94,-5.48,7.98
2024-12-06 13:22:00.545,-2.25,529.0,0.21,0.92,0.01,3.94,-6.58,-0.51
2024-12-06 13:22:00.572,2.7,544.0,0.19,0.94,0.0,3.21,-3.9,-5.33
2024-12-06 13:22:01.866,2.25,560.0,0.32,0.96,0.0,-4.3,5.38,9.5
2024-12-06 13:22:01.909,-2.02,527.0,0.32,0.95,0.0,-3.81,4.04,10.48
2024-12-06 13:22:01.938,-3.6,526.0,0.33,0.94,0.0,-2.28,-0.6,11.76
2024-12-06 13:22:01.945,-0.45,530.0,0.33,0.95,0.01,-2.22,-0.91,11.76
2024-12-06 13:22:01.949,0.45,524.0,0.32,0.95,0.02,-2.16,-0.91,11.76
2024-12-06 13:22:01.957,-0.67,551.0,0.31,0.95,0.03,-2.1,-0.72,11.76
2024-12-06 13:22:01.969,-2.47,525.0,0.31,0.95,0.03,-1.92,0.31,11.95
2024-12-06 13:22:01.983,1.12,546.0,0.31,0.95,0.03,-1.67,1.17,12.43
2024-12-06 13:22:02.15,4.28,546.0,0.32,0.92,0.02,-1.06,4.77,13.59
2024-12-06 13:22:02.28,-2.7,564.0,0.32,0.92,0.01,-1.06,4.77,13.59
2024-12-06 13:22:02.31,-3.6,556.0,0.31,0.93,0.03,-1.49,6.84,12.74
2024-12-06 13:22:02.38,-2.25,547.0,0.31,0.93,0.03,-1.37,6.48,12.68
2024-12-06 13:22:02.48,-2.7,537.0,0.32,0.93,0.03,-1.24,6.6,12.86
2024-12-06 13:22:02.53,-3.38,536.0,0.33,0.94,0.03,-1.24,6.6,12.86
2024-12-06 13:22:02.62,2.7,533.0,0.33,0.94,0.03,-1.24,6.72,13.04
2024-12-06 13:22:02.69,0.45,537.0,0.33,0.93,0.03,-1.31,6.11,12.8
2024-12-06 13:22:02.78,-0.67,546.0,0.33,0.93,0.03,-1.43,6.36,12.19
2024-12-06 13:22:02.87,2.92,539.0,0.33,0.93,0.03,-1.67,7.09,11.76
2024-12-06 13:22:02.93,3.38,527.0,0.34,0.93,0.03,-1.61,5.56,11.27
2024-12-06 13:22:02.130,3.6,537.0,0.32,0.93,0.05,-1.73,3.06,8.34
2024-12-06 13:22:02.133,4.05,534.0,0.32,0.92,0.06,-1.43,-1.27,4.8
2024-12-06 13:22:02.138,3.15,534.0,0.32,0.91,0.06,-1.43,-1.27,4.8
2024-12-06 13:22:02.148,0.0,555.0,0.32,0.9,0.05,-1.43,-3.04,2.55
2024-12-06 13:22:02.155,1.12,532.0,0.33,0.9,0.06,-1.55,-3.23,0.78
2024-12-06 13:22:02.251,11.25,543.0,0.32,0.95,0.02,-0.21,-3.84,-7.46
2024-12-06 13:22:02.259,9.9,550.0,0.31,0.95,0.03,0.1,-4.39,-7.34
2024-12-06 13:22:02.266,16.65,552.0,0.31,0.95,0.03,0.22,-4.45,-7.59
2024-12-06 13:22:02.274,15.52,545.0,0.32,0.95,0.04,-0.02,-3.29,-7.46
2024-12-06 13:22:02.284,13.27,538.0,0.32,0.95,0.04,-0.21,-5.36,-7.52
2024-12-06 13:22:02.306,18.45,554.0,0.34,0.93,0.03,-0.08,-5.24,-6.91
2024-12-06 13:22:02.313,17.77,536.0,0.35,0.94,0.03,0.1,-6.95,-6.24
2024-12-06 13:22:02.345,20.02,554.0,0.35,0.95,0.02,-0.39,-6.95,-5.14
2024-12-06 13:22:02.348,21.6,539.0,0.34,0.94,0.02,-0.15,-7.5,-3.25
2024-12-06 13:22:02.353,21.82,561.0,0.33,0.95,0.04,-0.39,-7.44,-2.64
2024-12-06 13:22:02.361,20.48,538.0,0.32,0.96,0.03,-0.63,-7.68,-1.97
2024-12-06 13:22:02.371,21.38,555.0,0.32,0.96,0.03,-0.57,-7.74,-1.12
2024-12-06 13:22:02.381,19.8,538.0,0.32,0.96,0.03,-0.7,-7.8,-0.02
2024-12-06 13:22:02.383,22.05,553.0,0.32,0.96,0.03,-0.7,-7.8,-0.02
